,Song Name,Lyrics,single_text
0,Free Smoke,"[Intro: Nai Palm & Drake]
Is it the strength of your feelings
Overthrowing your pain?
You'll see new heights you’ll be reaching
And is it today that you will find your new release?
And in your wake, ripple your sweet fate
And more chune for your headtop
So watch how you speak on my name, you know?

[Verse 1: Drake]
Yeah, I couldn't get a bill paid
You couldn't buy the real thing
I was stayin’ up at yo' place
Tryin' to figure out the whole thing
I saw people doin' things
Almost gave up on the music thing
But we all so spoiled now
More life, more everything
Must have never had your phone tapped
All that yappin' on the phone shit
You must really love the road life
All that never comin' home shit
[Chorus: Drake]
Free smoke, free smoke, ayy
Free smoke, free smoke, ayy
Free smoke, free smoke, ayy

[Verse 2: Drake]
Dom Rosé toast
Hidden Hills where I post
I start my day slow
Silk pajamas when I wake though
Miraval to the face though
I drunk text J-Lo
Old number, so it bounce back
Boi-1da got the bounce back
Used to get paid for shows in front-door money
Five, ten, twenties, hand sanitize after you count that
Me and Gibbo was about that
Eatin' Applebee's and Outback
Southwest, no first class
Hilton rooms, gotta double up
Writin’ our name on a double cup
We ain’t even have a tour bus
Girls wouldn't even think of recordin’ me
I fall asleep in sororities
I had some different priorities
Weezy had all the authority
Women I like was ignorin' me
Now they like, ""Aren't you adorable?""
I know the question rhetorical
I took the team plane from Oracle
Mama never used to cook much
Used to chef KD
Now me and Chef, KD
Bet on shots for twenty G's
I brought the game to its knees
I make too much these days to ever say, ""Poor me""
Where you at? I never see you
","
is it the strength of your feelings
overthrowing your pain
youll see new heights you’ll be reaching
and is it today that you will find your new release
and in your wake ripple your sweet fate
and more chune for your headtop
so watch how you speak on my name you know

verse 1 drake
yeah i couldnt get a bill paid
you couldnt buy the real thing
i was stayin’ up at yo place
tryin to figure out the whole thing
i saw people doin things
almost gave up on the music thing
but we all so spoiled now
more life more everything
must have never had your phone tapped
all that yappin on the phone shit
you must really love the road life
all that never comin home shit
chorus drake
free smoke free smoke ayy
free smoke free smoke ayy
free smoke free smoke ayy

verse 2 drake
dom rosé toast
hidden hills where i post
i start my day slow
silk pajamas when i wake though
miraval to the face though
i drunk text jlo
old number so it bounce back
boi1da got the bounce back
used to get paid for shows in frontdoor money
five ten twenties hand sanitize after you count that
me and gibbo was about that
eatin applebees and outback
southwest no first class
hilton rooms gotta double up
writin’ our name on a double cup
we ain’t even have a tour bus
girls wouldnt even think of recordin’ me
i fall asleep in sororities
i had some different priorities
weezy had all the authority
women i like was ignorin me
now they like arent you adorable
i know the question rhetorical
i took the team plane from oracle
mama never used to cook much
used to chef kd
now me and chef kd
bet on shots for twenty gs
i brought the game to its knees
i make too much these days to ever say poor me
where you at i never see you
"
1,No Long Talk,"[Intro: Drake & Baka Not Nice]
(Wheel it!)
Yeah (Six!)
Yeah
Murda on tha beat so it's not nice

[Verse 1: Drake]
That’s Baka, he's a no-long-talker
Quick to let the motherfuckin' TEC slam
We don’t need to hear about a next man
Yutes talk down, then they get ran
Left them, get dipped from the whole ends
If Gilla call shots, no questions
G-Way til I'm restin'
But we still got love for the West End
If it's a chit-chat ting, better talk nice
Murda on the beat so it's not nice
Skull gets hot, then I'm not nice
You tryna date her and she been let me wop twice
Now you man are on a diss ting
Just know man like Chubbs
He's a fixer if I ever gotta fix tings
Just know man like Fif, he's a sickaz
You get tanned, he don’t miss things
Just know man like me, I’m a Sixer
And I oversee the whole thing
Yeah, I pree the whole thing (SN1)
Yeah, I pree the whole thing
Preme got the err tucked, can't see the whole thing
Niggas wanna talk splits, now we need the whole thing
[Verse 2: Giggs]
Man gets duppied when we touch a button (Touch a button)
Man catch suckers, then we’re touchin' somethin' (Yeah)
Man get stuck in, yeah, we're stuck in somethin’ (Yeah)
Man gets wrappin' when we're suckin' somethin' (Straight)
Man gets battered with the crutch or somethin' (Battered)
Man bat bat it, then we buck or somethin' (Buck-bucker)
If man child play it, then we Chucky somethin' (Straight)
If man start throwin', then we're chuckin' somethin' (Hmm)
I'm on the best side, got the TEC lined
In the whip, on the left side, on a death ride (Switch it)
MAC-10 and the spesh flies, and the TEC slide
Nutty shit like somethin' just climbed out the X-Files (Ooh)
Textbook, like it's old school, like in textiles
Lighty lookin' healthy and she gets smiles
Home time, grab a quick drink and she gets wild
Sexy, and I rate that and her sex style (Switch it)
Fuckin' somethin', yeah nigga, fuckin' somethin' (Fuckin' somethin')
Back bent, pussy, I'll fuck her somethin' (Yeah)
Cognac, better grab a cup of somethin' (Cup of somethin')
Glue pussy like a nigga stuck or somethin' (Nah)
Stuck or somethin', like a nigga stuck or somethin' (Stuck or somethin')
Saw the monster, it's like a truck or somethin' (Jheeze)
Spread the pussy out, I'm 'bout to butter somethin' (Yeah)
Man gone Hollywood, it's like I'm Buck or somethin' (Buck)
","
wheel it
yeah six
yeah
murda on tha beat so its not nice

verse 1 drake
that’s baka hes a nolongtalker
quick to let the motherfuckin tec slam
we don’t need to hear about a next man
yutes talk down then they get ran
left them get dipped from the whole ends
if gilla call shots no questions
gway til im restin
but we still got love for the west end
if its a chitchat ting better talk nice
murda on the beat so its not nice
skull gets hot then im not nice
you tryna date her and she been let me wop twice
now you man are on a diss ting
just know man like chubbs
hes a fixer if i ever gotta fix tings
just know man like fif hes a sickaz
you get tanned he don’t miss things
just know man like me i’m a sixer
and i oversee the whole thing
yeah i pree the whole thing sn1
yeah i pree the whole thing
preme got the err tucked cant see the whole thing
niggas wanna talk splits now we need the whole thing
verse 2 giggs
man gets duppied when we touch a button touch a button
man catch suckers then we’re touchin somethin yeah
man get stuck in yeah were stuck in somethin’ yeah
man gets wrappin when were suckin somethin straight
man gets battered with the crutch or somethin battered
man bat bat it then we buck or somethin buckbucker
if man child play it then we chucky somethin straight
if man start throwin then were chuckin somethin hmm
im on the best side got the tec lined
in the whip on the left side on a death ride switch it
mac10 and the spesh flies and the tec slide
nutty shit like somethin just climbed out the xfiles ooh
textbook like its old school like in textiles
lighty lookin healthy and she gets smiles
home time grab a quick drink and she gets wild
sexy and i rate that and her sex style switch it
fuckin somethin yeah nigga fuckin somethin fuckin somethin
back bent pussy ill fuck her somethin yeah
cognac better grab a cup of somethin cup of somethin
glue pussy like a nigga stuck or somethin nah
stuck or somethin like a nigga stuck or somethin stuck or somethin
saw the monster its like a truck or somethin jheeze
spread the pussy out im bout to butter somethin yeah
man gone hollywood its like im buck or somethin buck
"
2,Passionfruit,"[Intro: Moodymann]
Hold on, hold on, fuck that
Fuck that shit
Hold on, I got to start this mothafuckin' record over again, wait a minute
Fuck that shit
Still on this mothafuckin’ record
I'ma play this mothafucka for y'all
Ayy, y’all get some more drinks goin' on
I'll sound a whole lot better

[Verse 1]
Listen
Seein' you got ritualistic
Cleansin' my soul of addiction for now
'Cause I'm fallin' apart, yeah
Tension
Between us just like picket fences
You got issues that I won’t mention for now
’Cause we're fallin’ apart
[Chorus]
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can’t blame you, no, no

[Verse 2]
Listen
Harder buildin' trust from a distance
I think we should rule out commitment for now
'Cause we're fallin' apart
Leavin'
You're just doing that to get even
Don't pick up the pieces, just leave it for now
They keep fallin' apart

[Chorus]
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
","
hold on hold on fuck that
fuck that shit
hold on i got to start this mothafuckin record over again wait a minute
fuck that shit
still on this mothafuckin’ record
ima play this mothafucka for yall
ayy y’all get some more drinks goin on
ill sound a whole lot better

verse 1
listen
seein you got ritualistic
cleansin my soul of addiction for now
cause im fallin apart yeah
tension
between us just like picket fences
you got issues that i won’t mention for now
’cause were fallin’ apart
chorus
passionate from miles away
passive with the things you say
passin up on my old ways
i cant blame you no no
passionate from miles away
passive with the things you say
passin up on my old ways
i can’t blame you no no

verse 2
listen
harder buildin trust from a distance
i think we should rule out commitment for now
cause were fallin apart
leavin
youre just doing that to get even
dont pick up the pieces just leave it for now
they keep fallin apart

chorus
passionate from miles away
passive with the things you say
passin up on my old ways
i cant blame you no no
passionate from miles away
passive with the things you say
passin up on my old ways
i cant blame you no no
"
3,Jorja Interlude,"[Refrain: Jorja Smith]
When you see them fall down
But you pick 'em up
You still let them touch the ground
Don't worry, I'm sure
They'll know you're trying to help 'em

[Verse: Drake]
Tryna stay light on my toes
Just ran a light in a Rolls
Told me I'm lookin' exhausted
You hit it right on the nose
I'm tired of all of these niggas
I'm tired of all of these hoes
Worried 'bout takin' my lane
They ain't even got on the road
They turn they back and they leave you
They gon' be back when they need you
I practice good over evil
Flippin' the script like a read-through
Yeah, all of my brothers, we equal
I play my part too, like a sequel
You tell your niggas you got 'em on anything
Question is, do they believe you?
'Specially when you never come through
So much hate inside your heart
We don't even know what we done to you
We just know shit gettin' run through
Never chase it, let it come to you
You out here tellin' everybody everything
You niggas move like the one-two, yeah
[Refrain: Jorja Smith]
When you see them fall down
But you pick 'em up
You still let them touch the ground
Don't worry, I swear
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know, they'll know

[Outro: Drake]
And more chune for your headtop
So watch how you speak on my name, you know?","
when you see them fall down
but you pick em up
you still let them touch the ground
dont worry im sure
theyll know youre trying to help em

verse drake
tryna stay light on my toes
just ran a light in a rolls
told me im lookin exhausted
you hit it right on the nose
im tired of all of these niggas
im tired of all of these hoes
worried bout takin my lane
they aint even got on the road
they turn they back and they leave you
they gon be back when they need you
i practice good over evil
flippin the script like a readthrough
yeah all of my brothers we equal
i play my part too like a sequel
you tell your niggas you got em on anything
question is do they believe you
specially when you never come through
so much hate inside your heart
we dont even know what we done to you
we just know shit gettin run through
never chase it let it come to you
you out here tellin everybody everything
you niggas move like the onetwo yeah
refrain jorja smith
when you see them fall down
but you pick em up
you still let them touch the ground
dont worry i swear
theyll know youre trying to help em
theyll know youre trying to help em
theyll know youre trying to help em
theyll know youre trying to help em
theyll know theyll know

outro drake
and more chune for your headtop
so watch how you speak on my name you know"
4,Get It Together,"[Verse 1: Jorja Smith]
Hello
I've been hurt so many times
It got to a point
When I decided
I can't do this anymore
I need someone to hold me
I need someone that needs me
I need someone that loves me

[Chorus: Drake w/ Jorja Smith]
You need me to get that shit together
So we can get together
You need me to get that shit together
So we can get together
You need me to
(Yeah, yeah)
You need me to
[Verse 2: Jorja Smith]
You know, we don't have to be dramatic
Just romantic
Do all the little things, little things, little things
That excites me
As your woman
Give me a kiss goodnight
Over the phone
When you're working late
When you're out of town
Tell me how much you need this
'Cause we deserve it
We can be together, but

[Chorus: Both, Drake]
You need me to get that shit together
So we can get together
You need me to get that shit together
So we can get together
You need me to (Yeah, yeah)
You need me to (Yeah)
You need me to
[Outro: Drake & Burna Boy]
Hold one vibes
Pree more life
Cuh we ah pree more life
Dun know already, cuz","
hello
ive been hurt so many times
it got to a point
when i decided
i cant do this anymore
i need someone to hold me
i need someone that needs me
i need someone that loves me

chorus drake w jorja smith
you need me to get that shit together
so we can get together
you need me to get that shit together
so we can get together
you need me to
yeah yeah
you need me to
verse 2 jorja smith
you know we dont have to be dramatic
just romantic
do all the little things little things little things
that excites me
as your woman
give me a kiss goodnight
over the phone
when youre working late
when youre out of town
tell me how much you need this
cause we deserve it
we can be together but

chorus both drake
you need me to get that shit together
so we can get together
you need me to get that shit together
so we can get together
you need me to yeah yeah
you need me to yeah
you need me to
outro drake  burna boy
hold one vibes
pree more life
cuh we ah pree more life
dun know already cuz"
5,Madiba Riddim,"[Intro]
Ayy, ayy, ayy

[Chorus]
I cannot tell who is my friend
I need distance between me and them
Gonna have to teach me how to love you again
God knows I'm trying
God knows I'm trying for you
God knows I'm trying
[Verse 1]
God knows it
Pure mind and pure soul I possess, He knows it
Anointed and protected, I was chosen
My heart is way too frozen to get broken

[Pre-Chorus]
I seen man turn fool for the money
One too many times
I seen some girls turn their back
On their best friend from time
I heard you say things that you can't take back, girl, no time
I need you to go easy now and fix up one time

[Chorus]
I cannot tell who is my friend
I need distance between me and them
Gonna have to teach me how to love you again
God knows I'm trying
God knows I'm trying for you
God knows I'm trying

[Verse 2]
People change, I'm not surprised
Devil's working overtime
Voodoo spells put on my life
It won't work, they all have tried
","
ayy ayy ayy

chorus
i cannot tell who is my friend
i need distance between me and them
gonna have to teach me how to love you again
god knows im trying
god knows im trying for you
god knows im trying
verse 1
god knows it
pure mind and pure soul i possess he knows it
anointed and protected i was chosen
my heart is way too frozen to get broken

prechorus
i seen man turn fool for the money
one too many times
i seen some girls turn their back
on their best friend from time
i heard you say things that you cant take back girl no time
i need you to go easy now and fix up one time

chorus
i cannot tell who is my friend
i need distance between me and them
gonna have to teach me how to love you again
god knows im trying
god knows im trying for you
god knows im trying

verse 2
people change im not surprised
devils working overtime
voodoo spells put on my life
it wont work they all have tried
"
6,Blem,"[Intro]
Unruly, unruly, maddas
Who keeps bringing more? I've had too many
This Virginia done me off already
I'm blem for real, I might just say how I feel
I'm blem for real, I might just say how I feel

[Chorus]
Don't switch on me, I got big plans
We need to forward to the islands
And get you gold, no spray tans
I need you to stop runnin' back to your ex, he's a wasteman
I wanna know, how come we can never slash and stay friends?
I'm blem for real, I might just say how I feel
I'm blem for real, I might just say how I feel
[Verse 1]
'Cause I know what I like
I know how I wanna live my life
I don't need no advice
You're not here and we both know why
So, move from me when you're extra
Move from me with the passa
I'm buildin' up a house where they raised me
You move with me, I'll go crazy

[Chorus]
Don't switch on me, I got big plans
We need to forward to the islands
And get you gold, no spray tans
I need you to stop runnin' back to your ex, he's a wasteman
I wanna know, how come we can never slash and stay friends?
I'm blem for real, I might just say how I feel
I'm blem for real, I might just say how I feel

[Verse 2]
I know we can't keep it together forever
'Cause you're crazy sometimes
And I only see you sometimes
Move from me when you're extra
Move from me with the passa
I'm buildin' up a house where they raised me
You move with me, I'll go—, look just
","
unruly unruly maddas
who keeps bringing more ive had too many
this virginia done me off already
im blem for real i might just say how i feel
im blem for real i might just say how i feel

chorus
dont switch on me i got big plans
we need to forward to the islands
and get you gold no spray tans
i need you to stop runnin back to your ex hes a wasteman
i wanna know how come we can never slash and stay friends
im blem for real i might just say how i feel
im blem for real i might just say how i feel
verse 1
cause i know what i like
i know how i wanna live my life
i dont need no advice
youre not here and we both know why
so move from me when youre extra
move from me with the passa
im buildin up a house where they raised me
you move with me ill go crazy

chorus
dont switch on me i got big plans
we need to forward to the islands
and get you gold no spray tans
i need you to stop runnin back to your ex hes a wasteman
i wanna know how come we can never slash and stay friends
im blem for real i might just say how i feel
im blem for real i might just say how i feel

verse 2
i know we cant keep it together forever
cause youre crazy sometimes
and i only see you sometimes
move from me when youre extra
move from me with the passa
im buildin up a house where they raised me
you move with me ill go— look just
"
7,4422,"[Refrain: Sampha]
I'm runnin', but can't run away
You say you changed
But you never change up

[Chorus: Sampha]
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
[Verse: Sampha]
I know I fear trust
I know I fear fear too much
On my plate, lookin' up
Outer space, Pearly Gates

[Refrain: Sampha]
I'm runnin', but can't run away
You say you changed
But you never change up","
im runnin but cant run away
you say you changed
but you never change up

chorus sampha
44 22
you build it up to break it halfway through
just make the call 22
but youre just the same as i ever knew
44 22
you build it up to break it halfway through
just make the call 22
but youre just the same as i ever knew
44 22
you build it up to break it halfway through
just make the call 22
but youre just the same as i ever knew
44 22
you build it up to break it halfway through
just make the call 22
but youre just the same as i ever knew
44 22
you build it up to break it halfway through
just make the call 22
but youre just the same as i ever knew
verse sampha
i know i fear trust
i know i fear fear too much
on my plate lookin up
outer space pearly gates

refrain sampha
im runnin but cant run away
you say you changed
but you never change up"
8,Gyalchester,"[Chorus: Drake & Baka Not Nice]
(Yah! Yah! Yah! Yah! Yah! Ah)
Hermès link, ice-blue mink (Woo!)
Tat on my ribs like I do not know what permanent is (Yah!)
They want me gone, wait for the kicker
Bury me now and I only get bigger
That's word to my nigga (Woo!)

[Verse 1: Drake & Baka Not Nice]
Yeah, October Firm in the cut (Yah!)
Stay at the top like I'm stuck, that's just how I'm givin' it up
She wanna get married tonight
But I can't take a knee, 'cause I'm wearin' all white
Me and my broski are twins, but we don't look alike
I don't take naps
Me and the money are way too attached to go and do that
Muscle relax (Ha! Ha! Ha!)
That and the spliff put me right on my back, I gotta unpack (Yah!)
Virginia Black (Doo! Doo!)
I could go make enough money off that and not even rap
What's that? Facts (Facts, nigga, yah!)
Contract max, I gotta bring that shit back (Blah!)
[Chorus: Drake & Baka Not Nice]
Hermès link (Woo! Woo!), ice-blue mink (Yah!)
Tat on my ribs like I do not know what permanent is
They want me gone, out of the picture (Yah!)
Bury me now and I only get bigger
That's word to my, word to my—

[Verse 2: Drake & Baka Not Nice]
I'm so hot, yeah, I’m so right now (Right now)
Who's not gang, bitch? Let me find out (Ha!)
Keep hearin' clicks when I'm talkin' on the iPhone
Feds in the city hate to see us on a high note (Woo!)
I switch flow like I switch time zone
Can't get Nobu, but you can get Milestone (Baka)
I got a new mansion, 'cause I outgrew the condo
Gotta do Maybach, she wanna fuck on the drive home
Yeah, met her once and I got through (Yah!)
I'm never washed, but I'm not new
I know I said top five, but I'm top two
And I'm not two and I got one
Thought you had one, but it's not one, nigga, nah

[Chorus: Drake & Baka Not Nice]
Hermès link, ice-blue mink (Yah!)
Tat on my ribs like I do not know what permanent is
They want me gone (Gone, blah!), wait for the kicker
Bury me now and I only get bigger
That's word to my nigga (Woo! Woo!)
Yah!","
yah yah yah yah yah ah
hermès link iceblue mink woo
tat on my ribs like i do not know what permanent is yah
they want me gone wait for the kicker
bury me now and i only get bigger
thats word to my nigga woo

verse 1 drake  baka not nice
yeah october firm in the cut yah
stay at the top like im stuck thats just how im givin it up
she wanna get married tonight
but i cant take a knee cause im wearin all white
me and my broski are twins but we dont look alike
i dont take naps
me and the money are way too attached to go and do that
muscle relax ha ha ha
that and the spliff put me right on my back i gotta unpack yah
virginia black doo doo
i could go make enough money off that and not even rap
whats that facts facts nigga yah
contract max i gotta bring that shit back blah
chorus drake  baka not nice
hermès link woo woo iceblue mink yah
tat on my ribs like i do not know what permanent is
they want me gone out of the picture yah
bury me now and i only get bigger
thats word to my word to my—

verse 2 drake  baka not nice
im so hot yeah i’m so right now right now
whos not gang bitch let me find out ha
keep hearin clicks when im talkin on the iphone
feds in the city hate to see us on a high note woo
i switch flow like i switch time zone
cant get nobu but you can get milestone baka
i got a new mansion cause i outgrew the condo
gotta do maybach she wanna fuck on the drive home
yeah met her once and i got through yah
im never washed but im not new
i know i said top five but im top two
and im not two and i got one
thought you had one but its not one nigga nah

chorus drake  baka not nice
hermès link iceblue mink yah
tat on my ribs like i do not know what permanent is
they want me gone gone blah wait for the kicker
bury me now and i only get bigger
thats word to my nigga woo woo
yah"
9,Skepta Interlude,"[Chorus: Skepta]
It's a madness
Check my account, it's a madness (Mm)
Block that account, it's a catfish (Yeah)
Block that account, it's a catfish (Dubplate special)
Check my account, that's a madness
Check my account, that's a madness (OVO, BBK, greaze!)
Block that account, that's a catfish
Block that account, that's a catfish

[Verse 1: Skepta]
You don't know me, you better get to know me
Stand up tall, right next to Kobe
A young G, I had the weapon on me
Slice up work like pepperoni (Shing!)
The police still arrest the homies
No statement, no testimony
Spit in your face with extra bogey
It's my time, I don't flex a Rollie
On cloud nine, a man's extra cozy (Bo!) (Greaze!)
I might switch it up and direct a movie
Pussyholes tried to execute me
Died and came back as Fela Kuti
Don't phone me, send a text to Julie
OVO, man's so unruly (Bo!)
South by, ride out, no Suzuki
Got the Austin Powers, a man's extra groovy (Greaze!)
Front row, jacket tailor-made
Crackhead swag with the razor blade (Sex)
Red umbrella when I make it rain (Sex)
My whole team winnin', we don't play your game
Sound like me, but they ain't the same (Greaze!)
See them online tryna fake the fame
They wanna bust jokes, they think I'm Damon Wayans (Yeah)
[Chorus: Skepta]
It's a madness
Check my account, it's a madness (More Life)
Block that account, it's a catfish
Block that account, it's a catfish (OVO, BBK)
Check my account, that's a madness (Dubplate)
Check my account, that's a madness (Street team)
Block that account, it's a catfish (Greaze!)
Block that account, it's a catfish

[Verse 2: Skepta]
Yeah, they're nothin' like me, I'm a fuckin' villain
Go against me, that's a tough decision (Mmm)
Police wish I was stuck in prison
Fish-eye lens on my tunnel vision (Straight)
Real life greaze when I touch the riddim
Still the same guy when I touched a million
Record labels wanted us to listen
But it's greatness only for the love of Britain
I say it how it is and no fucks are given
(Greaze!) So don't forget to remember me (Yeah)
Especially all my enemies
Keep your eyes on me with your jealousy
The most solid gang that you will ever see (Get me)
Just came back from the embassy
Check my crime sheet, check my legacy
And now I'm back on tour, so what you tellin' me? (Bo-bo)
(Greaze!) Taliban, Halloween (Icy)
Pull up in the whip with the gasoline (Greaze!) (Bo-bo)
Yeah, that's that boy from the magazine (Jeez!)
Bust my dance at the cash machine
Make her back it up, bounce on my trampoline
Like Martin Luther, man, I had a dream
Now it's my world, you can have the scene
","
its a madness
check my account its a madness mm
block that account its a catfish yeah
block that account its a catfish dubplate special
check my account thats a madness
check my account thats a madness ovo bbk greaze
block that account thats a catfish
block that account thats a catfish

verse 1 skepta
you dont know me you better get to know me
stand up tall right next to kobe
a young g i had the weapon on me
slice up work like pepperoni shing
the police still arrest the homies
no statement no testimony
spit in your face with extra bogey
its my time i dont flex a rollie
on cloud nine a mans extra cozy bo greaze
i might switch it up and direct a movie
pussyholes tried to execute me
died and came back as fela kuti
dont phone me send a text to julie
ovo mans so unruly bo
south by ride out no suzuki
got the austin powers a mans extra groovy greaze
front row jacket tailormade
crackhead swag with the razor blade sex
red umbrella when i make it rain sex
my whole team winnin we dont play your game
sound like me but they aint the same greaze
see them online tryna fake the fame
they wanna bust jokes they think im damon wayans yeah
chorus skepta
its a madness
check my account its a madness more life
block that account its a catfish
block that account its a catfish ovo bbk
check my account thats a madness dubplate
check my account thats a madness street team
block that account its a catfish greaze
block that account its a catfish

verse 2 skepta
yeah theyre nothin like me im a fuckin villain
go against me thats a tough decision mmm
police wish i was stuck in prison
fisheye lens on my tunnel vision straight
real life greaze when i touch the riddim
still the same guy when i touched a million
record labels wanted us to listen
but its greatness only for the love of britain
i say it how it is and no fucks are given
greaze so dont forget to remember me yeah
especially all my enemies
keep your eyes on me with your jealousy
the most solid gang that you will ever see get me
just came back from the embassy
check my crime sheet check my legacy
and now im back on tour so what you tellin me bobo
greaze taliban halloween icy
pull up in the whip with the gasoline greaze bobo
yeah thats that boy from the magazine jeez
bust my dance at the cash machine
make her back it up bounce on my trampoline
like martin luther man i had a dream
now its my world you can have the scene
"
