Song Name,Lyrics
Free Smoke,"TranslationsPortuguêsFree Smoke Lyrics[Intro: Nai Palm & Drake]
Is it the strength of your feelings
Overthrowing your pain?
You'll see new heights you’ll be reaching
And is it today that you will find your new release?
And in your wake, ripple your sweet fate
And more chune for your headtop
So watch how you speak on my name, you know?

[Verse 1: Drake]
Yeah, I couldn't get a bill paid
You couldn't buy the real thing
I was stayin’ up at yo' place
Tryin' to figure out the whole thing
I saw people doin' things
Almost gave up on the music thing
But we all so spoiled now
More life, more everything
Must have never had your phone tapped
All that yappin' on the phone shit
You must really love the road life
All that never comin' home shit
[Chorus: Drake]
Free smoke, free smoke, ayy
Free smoke, free smoke, ayy
Free smoke, free smoke, ayy

[Verse 2: Drake]
Dom Rosé toast
Hidden Hills where I post
I start my day slow
Silk pajamas when I wake though
Miraval to the face though
I drunk text J-Lo
Old number, so it bounce back
Boi-1da got the bounce back
Used to get paid for shows in front-door money
Five, ten, twenties, hand sanitize after you count that
Me and Gibbo was about that
Eatin' Applebee's and Outback
Southwest, no first class
Hilton rooms, gotta double up
Writin’ our name on a double cup
We ain’t even have a tour bus
Girls wouldn't even think of recordin’ me
I fall asleep in sororities
I had some different priorities
Weezy had all the authority
Women I like was ignorin' me
Now they like, ""Aren't you adorable?""
I know the question rhetorical
I took the team plane from Oracle
Mama never used to cook much
Used to chef KD
Now me and Chef, KD
Bet on shots for twenty G's
I brought the game to its knees
I make too much these days to ever say, ""Poor me""
Where you at? I never see you
See Drake LiveGet tickets as low as $161You might also like[Chorus: Drake]
Free smoke, free smoke, ayy
Free smoke, free smoke, ayy
Free smoke, free smoke, ayy

[Verse 3: Drake]
Niggas moves so waste
Please come outside the house and show yourself
So I can say it to your face
It’s bound to happen, man, it's gotta happen now
So let's just get it out the way
Lot of niggas goin' bad on me
Please, one at a time
I wanna move to Dubai
So I don't never have to kick it with none of you guys
I didn't listen to Hov on that old song
When he told me, ""Pay it no mind""
I get more satisfaction outta goin' at your head
And seein' all of you die
And I seen a lot of you die

[Chorus: Drake]
Free smoke, free smoke, ayy
Free smoke, free smoke, ayy
Free smoke, free smoke, ayy
[Verse 4: Drake]
Hidden Hills where I post, yeah
'Ye already know, yeah
I'm the troublemaker in the neighborhood
Far as troublemakin' goes, yeah
House party up the road, yeah
I'm not Kid 'n Play
This kid doesn't play about the flow, yeah
Y'all keep playin' with your nose, yeah
You get high and do the most, yeah
How you let the kid fightin'
Ghost-writin' rumors turn you to a ghost?
Oh, you niggas got jokes
Free smoke, free smoke
[Outro: Baka Not Nice]
Baka
Yeah, we outchea
Ya dun know, eh?
It's a OVO ting, eh?
Ya dun know, eh?
It's a East Side ting, eh?
Ya dun know, eh?
More life92Embed"
No Long Talk,"No Long Talk Lyrics[Intro: Drake & Baka Not Nice]
(Wheel it!)
Yeah (Six!)
Yeah
Murda on tha beat so it's not nice

[Verse 1: Drake]
That’s Baka, he's a no-long-talker
Quick to let the motherfuckin' TEC slam
We don’t need to hear about a next man
Yutes talk down, then they get ran
Left them, get dipped from the whole ends
If Gilla call shots, no questions
G-Way til I'm restin'
But we still got love for the West End
If it's a chit-chat ting, better talk nice
Murda on the beat so it's not nice
Skull gets hot, then I'm not nice
You tryna date her and she been let me wop twice
Now you man are on a diss ting
Just know man like Chubbs
He's a fixer if I ever gotta fix tings
Just know man like Fif, he's a sickaz
You get tanned, he don’t miss things
Just know man like me, I’m a Sixer
And I oversee the whole thing
Yeah, I pree the whole thing (SN1)
Yeah, I pree the whole thing
Preme got the err tucked, can't see the whole thing
Niggas wanna talk splits, now we need the whole thing
[Verse 2: Giggs]
Man gets duppied when we touch a button (Touch a button)
Man catch suckers, then we’re touchin' somethin' (Yeah)
Man get stuck in, yeah, we're stuck in somethin’ (Yeah)
Man gets wrappin' when we're suckin' somethin' (Straight)
Man gets battered with the crutch or somethin' (Battered)
Man bat bat it, then we buck or somethin' (Buck-bucker)
If man child play it, then we Chucky somethin' (Straight)
If man start throwin', then we're chuckin' somethin' (Hmm)
I'm on the best side, got the TEC lined
In the whip, on the left side, on a death ride (Switch it)
MAC-10 and the spesh flies, and the TEC slide
Nutty shit like somethin' just climbed out the X-Files (Ooh)
Textbook, like it's old school, like in textiles
Lighty lookin' healthy and she gets smiles
Home time, grab a quick drink and she gets wild
Sexy, and I rate that and her sex style (Switch it)
Fuckin' somethin', yeah nigga, fuckin' somethin' (Fuckin' somethin')
Back bent, pussy, I'll fuck her somethin' (Yeah)
Cognac, better grab a cup of somethin' (Cup of somethin')
Glue pussy like a nigga stuck or somethin' (Nah)
Stuck or somethin', like a nigga stuck or somethin' (Stuck or somethin')
Saw the monster, it's like a truck or somethin' (Jheeze)
Spread the pussy out, I'm 'bout to butter somethin' (Yeah)
Man gone Hollywood, it's like I'm Buck or somethin' (Buck)
See Drake LiveGet tickets as low as $161You might also like[Outro: Giggs]
You dun know, it's Hollowman Giggs
Right now, just here with the big man Drizzy, you get me?
More Life flex, you dun know
OVO and SN1 to the world, brap34Embed"
Passionfruit,"TranslationsEspañolPassionfruit Lyrics[Intro: Moodymann]
Hold on, hold on, fuck that
Fuck that shit
Hold on, I got to start this mothafuckin' record over again, wait a minute
Fuck that shit
Still on this mothafuckin’ record
I'ma play this mothafucka for y'all
Ayy, y’all get some more drinks goin' on
I'll sound a whole lot better

[Verse 1]
Listen
Seein' you got ritualistic
Cleansin' my soul of addiction for now
'Cause I'm fallin' apart, yeah
Tension
Between us just like picket fences
You got issues that I won’t mention for now
’Cause we're fallin’ apart
[Chorus]
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can’t blame you, no, no

[Verse 2]
Listen
Harder buildin' trust from a distance
I think we should rule out commitment for now
'Cause we're fallin' apart
Leavin'
You're just doing that to get even
Don't pick up the pieces, just leave it for now
They keep fallin' apart

[Chorus]
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
See Drake LiveGet tickets as low as $161You might also like[Outro: Zoë Kravitz]
Um, trying to think of the right thing to say232Embed"
Jorja Interlude,"TranslationsEnglishJorja Interlude Lyrics[Refrain: Jorja Smith]
When you see them fall down
But you pick 'em up
You still let them touch the ground
Don't worry, I'm sure
They'll know you're trying to help 'em

[Verse: Drake]
Tryna stay light on my toes
Just ran a light in a Rolls
Told me I'm lookin' exhausted
You hit it right on the nose
I'm tired of all of these niggas
I'm tired of all of these hoes
Worried 'bout takin' my lane
They ain't even got on the road
They turn they back and they leave you
They gon' be back when they need you
I practice good over evil
Flippin' the script like a read-through
Yeah, all of my brothers, we equal
I play my part too, like a sequel
You tell your niggas you got 'em on anything
Question is, do they believe you?
'Specially when you never come through
So much hate inside your heart
We don't even know what we done to you
We just know shit gettin' run through
Never chase it, let it come to you
You out here tellin' everybody everything
You niggas move like the one-two, yeah
[Refrain: Jorja Smith]
When you see them fall down
But you pick 'em up
You still let them touch the ground
Don't worry, I swear
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know you're trying to help 'em
They'll know, they'll know

[Outro: Drake]
And more chune for your headtop
So watch how you speak on my name, you know?See Drake LiveGet tickets as low as $161You might also like19Embed"
Get It Together,"Get It Together Lyrics[Verse 1: Jorja Smith]
Hello
I've been hurt so many times
It got to a point
When I decided
I can't do this anymore
I need someone to hold me
I need someone that needs me
I need someone that loves me

[Chorus: Drake w/ Jorja Smith]
You need me to get that shit together
So we can get together
You need me to get that shit together
So we can get together
You need me to
(Yeah, yeah)
You need me to
[Verse 2: Jorja Smith]
You know, we don't have to be dramatic
Just romantic
Do all the little things, little things, little things
That excites me
As your woman
Give me a kiss goodnight
Over the phone
When you're working late
When you're out of town
Tell me how much you need this
'Cause we deserve it
We can be together, but

[Chorus: Both, Drake]
You need me to get that shit together
So we can get together
You need me to get that shit together
So we can get together
You need me to (Yeah, yeah)
You need me to (Yeah)
You need me to
[Outro: Drake & Burna Boy]
Hold one vibes
Pree more life
Cuh we ah pree more life
Dun know already, cuzSee Drake LiveGet tickets as low as $161You might also like46Embed"
Madiba Riddim,"TranslationsTürkçePortuguêsMadiba Riddim Lyrics[Intro]
Ayy, ayy, ayy

[Chorus]
I cannot tell who is my friend
I need distance between me and them
Gonna have to teach me how to love you again
God knows I'm trying
God knows I'm trying for you
God knows I'm trying
[Verse 1]
God knows it
Pure mind and pure soul I possess, He knows it
Anointed and protected, I was chosen
My heart is way too frozen to get broken

[Pre-Chorus]
I seen man turn fool for the money
One too many times
I seen some girls turn their back
On their best friend from time
I heard you say things that you can't take back, girl, no time
I need you to go easy now and fix up one time

[Chorus]
I cannot tell who is my friend
I need distance between me and them
Gonna have to teach me how to love you again
God knows I'm trying
God knows I'm trying for you
God knows I'm trying

[Verse 2]
People change, I'm not surprised
Devil's working overtime
Voodoo spells put on my life
It won't work, they all have tried
See Drake LiveGet tickets as low as $161You might also like[Pre-Chorus]
I seen man turn fool for the money
One too many times
I seen some girls turn their back
On their best friend from time
I heard you say things that you can't take back, girl, no time
I need you to go easy now and fix up one time

[Chorus]
I cannot tell who is my friend
I need distance between me and them
Gonna have to teach me how to love you again
God knows I'm trying
God knows I'm trying for you
God knows I'm trying
[Outro]
You put food on the table for me, aye?
Alright, fam, soft. I see you, aye?
You pay my bills, right?
It's light
You're a wasteman
Top story
Wah?23Embed"
Blem,"TranslationsEspañolBlem Lyrics[Intro]
Unruly, unruly, maddas
Who keeps bringing more? I've had too many
This Virginia done me off already
I'm blem for real, I might just say how I feel
I'm blem for real, I might just say how I feel

[Chorus]
Don't switch on me, I got big plans
We need to forward to the islands
And get you gold, no spray tans
I need you to stop runnin' back to your ex, he's a wasteman
I wanna know, how come we can never slash and stay friends?
I'm blem for real, I might just say how I feel
I'm blem for real, I might just say how I feel
[Verse 1]
'Cause I know what I like
I know how I wanna live my life
I don't need no advice
You're not here and we both know why
So, move from me when you're extra
Move from me with the passa
I'm buildin' up a house where they raised me
You move with me, I'll go crazy

[Chorus]
Don't switch on me, I got big plans
We need to forward to the islands
And get you gold, no spray tans
I need you to stop runnin' back to your ex, he's a wasteman
I wanna know, how come we can never slash and stay friends?
I'm blem for real, I might just say how I feel
I'm blem for real, I might just say how I feel

[Verse 2]
I know we can't keep it together forever
'Cause you're crazy sometimes
And I only see you sometimes
Move from me when you're extra
Move from me with the passa
I'm buildin' up a house where they raised me
You move with me, I'll go—, look just
See Drake LiveGet tickets as low as $161You might also like[Chorus]
Don't switch on me, I got big plans
We need to forward to the islands
And get you gold, no spray tans
I need you to stop runnin' back to your ex, he's a wasteman
I wanna know, how come we can never slash and stay friends?
I'm blem for real, I might just say how I feel
I'm blem for real, I might just say how I feel
[Outro: Lil Wayne & Lionel Richie]
Together forever
Good morning, good afternoon, good night!
I'm here to talk about More Life
One second48Embed"
4422,"TranslationsTürkçe4422 Lyrics[Refrain: Sampha]
I'm runnin', but can't run away
You say you changed
But you never change up

[Chorus: Sampha]
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
44, 22
You build it up to break it halfway through
Just make the call, 22
But you're just the same as I ever knew
[Verse: Sampha]
I know I fear trust
I know I fear fear too much
On my plate, lookin' up
Outer space, Pearly Gates

[Refrain: Sampha]
I'm runnin', but can't run away
You say you changed
But you never change upSee Drake LiveGet tickets as low as $161You might also like45Embed"
Gyalchester,"TranslationsPortuguêsGyalchester Lyrics[Chorus: Drake & Baka Not Nice]
(Yah! Yah! Yah! Yah! Yah! Ah)
Hermès link, ice-blue mink (Woo!)
Tat on my ribs like I do not know what permanent is (Yah!)
They want me gone, wait for the kicker
Bury me now and I only get bigger
That's word to my nigga (Woo!)

[Verse 1: Drake & Baka Not Nice]
Yeah, October Firm in the cut (Yah!)
Stay at the top like I'm stuck, that's just how I'm givin' it up
She wanna get married tonight
But I can't take a knee, 'cause I'm wearin' all white
Me and my broski are twins, but we don't look alike
I don't take naps
Me and the money are way too attached to go and do that
Muscle relax (Ha! Ha! Ha!)
That and the spliff put me right on my back, I gotta unpack (Yah!)
Virginia Black (Doo! Doo!)
I could go make enough money off that and not even rap
What's that? Facts (Facts, nigga, yah!)
Contract max, I gotta bring that shit back (Blah!)
[Chorus: Drake & Baka Not Nice]
Hermès link (Woo! Woo!), ice-blue mink (Yah!)
Tat on my ribs like I do not know what permanent is
They want me gone, out of the picture (Yah!)
Bury me now and I only get bigger
That's word to my, word to my—

[Verse 2: Drake & Baka Not Nice]
I'm so hot, yeah, I’m so right now (Right now)
Who's not gang, bitch? Let me find out (Ha!)
Keep hearin' clicks when I'm talkin' on the iPhone
Feds in the city hate to see us on a high note (Woo!)
I switch flow like I switch time zone
Can't get Nobu, but you can get Milestone (Baka)
I got a new mansion, 'cause I outgrew the condo
Gotta do Maybach, she wanna fuck on the drive home
Yeah, met her once and I got through (Yah!)
I'm never washed, but I'm not new
I know I said top five, but I'm top two
And I'm not two and I got one
Thought you had one, but it's not one, nigga, nah

[Chorus: Drake & Baka Not Nice]
Hermès link, ice-blue mink (Yah!)
Tat on my ribs like I do not know what permanent is
They want me gone (Gone, blah!), wait for the kicker
Bury me now and I only get bigger
That's word to my nigga (Woo! Woo!)
Yah!See Drake LiveGet tickets as low as $161You might also like76Embed"
Skepta Interlude,"Skepta Interlude Lyrics[Chorus: Skepta]
It's a madness
Check my account, it's a madness (Mm)
Block that account, it's a catfish (Yeah)
Block that account, it's a catfish (Dubplate special)
Check my account, that's a madness
Check my account, that's a madness (OVO, BBK, greaze!)
Block that account, that's a catfish
Block that account, that's a catfish

[Verse 1: Skepta]
You don't know me, you better get to know me
Stand up tall, right next to Kobe
A young G, I had the weapon on me
Slice up work like pepperoni (Shing!)
The police still arrest the homies
No statement, no testimony
Spit in your face with extra bogey
It's my time, I don't flex a Rollie
On cloud nine, a man's extra cozy (Bo!) (Greaze!)
I might switch it up and direct a movie
Pussyholes tried to execute me
Died and came back as Fela Kuti
Don't phone me, send a text to Julie
OVO, man's so unruly (Bo!)
South by, ride out, no Suzuki
Got the Austin Powers, a man's extra groovy (Greaze!)
Front row, jacket tailor-made
Crackhead swag with the razor blade (Sex)
Red umbrella when I make it rain (Sex)
My whole team winnin', we don't play your game
Sound like me, but they ain't the same (Greaze!)
See them online tryna fake the fame
They wanna bust jokes, they think I'm Damon Wayans (Yeah)
[Chorus: Skepta]
It's a madness
Check my account, it's a madness (More Life)
Block that account, it's a catfish
Block that account, it's a catfish (OVO, BBK)
Check my account, that's a madness (Dubplate)
Check my account, that's a madness (Street team)
Block that account, it's a catfish (Greaze!)
Block that account, it's a catfish

[Verse 2: Skepta]
Yeah, they're nothin' like me, I'm a fuckin' villain
Go against me, that's a tough decision (Mmm)
Police wish I was stuck in prison
Fish-eye lens on my tunnel vision (Straight)
Real life greaze when I touch the riddim
Still the same guy when I touched a million
Record labels wanted us to listen
But it's greatness only for the love of Britain
I say it how it is and no fucks are given
(Greaze!) So don't forget to remember me (Yeah)
Especially all my enemies
Keep your eyes on me with your jealousy
The most solid gang that you will ever see (Get me)
Just came back from the embassy
Check my crime sheet, check my legacy
And now I'm back on tour, so what you tellin' me? (Bo-bo)
(Greaze!) Taliban, Halloween (Icy)
Pull up in the whip with the gasoline (Greaze!) (Bo-bo)
Yeah, that's that boy from the magazine (Jeez!)
Bust my dance at the cash machine
Make her back it up, bounce on my trampoline
Like Martin Luther, man, I had a dream
Now it's my world, you can have the scene
See Drake LiveGet tickets as low as $161You might also like[Chorus: Skepta]
It's a madness
Check my account, it's a madness
Block that account, it's a catfish
Block that account, it's a catfish
Check my account, that's a madness
Check my account, that's a madness
Block that account, it's a catfish
Block that account, it's a catfish32Embed"
